comparison	kegg_pathway	ko_id	significant_compounds	pathway_compounds	significant_compounds_total	compounds_total	metabolite_index_list	kegg_compound_list	kegg_url
KP_vs_Con	Pyruvate metabolism	ko00620	1	4	185	562	MEDN0704	C00036	https:\\www.genome.jp\dbget-bin\www_bget?map00620
KP_vs_Con	Glucagon signaling pathway	ko04922	1	7	185	562	MEDN0704	C00036	https:\\www.genome.jp\dbget-bin\www_bget?map04922
KP_vs_Con	Fc epsilon RI signaling pathway	ko04664	1	2	185	562	MEDN1135	C00374	https:\\www.genome.jp\dbget-bin\www_bget?map04664
KP_vs_Con	Pertussis	ko05133	1	3	185	562	MEDN1135	C00374	https:\\www.genome.jp\dbget-bin\www_bget?map05133
KP_vs_Con	PPAR signaling pathway	ko03320	1	1	185	562	MEDN1144	C14767	https:\\www.genome.jp\dbget-bin\www_bget?map03320
KP_vs_Con	Lipoic acid metabolism	ko00785	1	2	185	562	MEDN1155	C00233	https:\\www.genome.jp\dbget-bin\www_bget?map00785
KP_vs_Con	Lysine degradation	ko00310	3	10	185	562	MEDN1656;MEDP0011;MEDP0297	C00739+C00047+C00431	https:\\www.genome.jp\dbget-bin\www_bget?map00310
KP_vs_Con	Parkinson disease	ko05012	1	3	185	562	MEDN1722	C04599	https:\\www.genome.jp\dbget-bin\www_bget?map05012
KP_vs_Con	Pathways of neurodegeneration - multiple diseases	ko05022	1	2	185	562	MEDN1722	C04599	https:\\www.genome.jp\dbget-bin\www_bget?map05022
KP_vs_Con	Caffeine metabolism	ko00232	2	8	185	562	MEDN2325;MEDP0280	C16365+C16361	https:\\www.genome.jp\dbget-bin\www_bget?map00232
KP_vs_Con	Gap junction	ko04540	2	6	185	562	MEDN2393;MEDN2394	C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map04540
KP_vs_Con	Regulation of actin cytoskeleton	ko04810	2	5	185	562	MEDN2393;MEDN2394	C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map04810
KP_vs_Con	Vitamin digestion and absorption	ko04977	4	21	185	562	MEDN2393;MEDN2394;MEDP0143;MEDP0242	C00681+C00681+C00120+C00153	https:\\www.genome.jp\dbget-bin\www_bget?map04977
