protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
P09093	CEL3A_HUMAN	CELA3A	Chymotrypsin-like elastase family member 3A	1526.6						4216.02				2666.07	7236.89							38112.5	6058.73									6561.38		3721.94								3796.11	6319.9				2783.52	2747.11	2395.55	2438.1	
P09104	ENOG_HUMAN	ENO2	Gamma-enolase	4629.08	5993.67		4886.97									15167.5														4895.1			5409.67							4883.8			3746.92	2672.57	5026.69						
P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal		1488.18					3552.19					3457.94			3364.29		4597.17	5771.78	3696.87	37399.0		9784.2				3401.95	1792.39		3638.04	3306.06				2354.76					2872.18	3484.99		3251.99		4759.07	4118.39	2261.07	2946.19	1991.23
P09172	DOPO_HUMAN	DBH	Dopamine beta-hydroxylase	22391.1	23062.6	11958.7	23528.2	40793.6	44640.2	50803.7	53462.6	13566.3	48815.7	149414.0	48685.1	67113.1	84597.2	34430.1	33228.8		7757.65	19448.6	31742.8	64862.4	36614.1	56409.6	29870.5	20245.6	26418.1	34327.4	61729.1	25320.5	8118.01	36847.8	58748.6	36925.3	18753.9	19099.9	18277.7	26311.8	54758.2	16354.2	15229.4	52256.0	25610.2	54217.3	28579.6	28429.8	21551.5	29037.1	24855.4
P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	75836.4	78662.0	24546.9	70126.8	34924.3	42881.5	22823.9	30393.4	24082.8	25933.8	27029.9	18345.2	26023.4	18368.7	30279.7	17445.9	16287.2	12926.9	46469.5	13336.0	23867.8	15403.1	23693.5	13650.4	18012.4	37984.8	35621.5		13665.0	68735.5	36055.5	15303.1	26686.5	125745.0	18872.6	17600.8	46087.8	28082.8	49699.1	26972.9	27057.4	23052.6	16354.9	24905.9	19963.5	32281.9	33430.0	30654.9
P09237	MMP7_HUMAN	MMP7	Matrilysin	6397.71	6297.61	4841.05	6635.54	9174.68	3324.15			4207.0						4341.95		6288.97	4796.49		5262.95		7039.87	8985.85	2598.15	4320.05	5406.69	5003.43		4504.2	19916.2							5612.35	9017.58	3830.39	6329.7	10296.2	7098.63	2095.54	5165.24	6238.84	3578.35		
P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	11304.8	10338.4	8971.15	11496.8	13120.6	16864.9	3864.86	11992.6	9401.8	15506.4	13268.4	6077.26	5175.06	18531.8	16854.0			3663.4	13888.5			8111.06		5497.04	21689.4	5939.5	10447.7		3593.81	7505.67	30153.1		6654.84	160003.0		3837.86	12672.9	4899.02	20302.9	3245.4	3969.14	6033.34		6873.9	6414.96	19769.3	22983.2	20861.5
P09466	PAEP_HUMAN	PAEP	Glycodelin	2758.05					4947.71	2973.0					4623.98		11922.0	14673.5	4173.58	3768.91	2929.63	13352.5	3279.26		7196.78				5554.92	3556.36	4224.23	3827.46	6222.55	2623.62			11704.2			4476.36	7242.88	13591.7	10470.2	6678.05	1648.35		1993.55		5587.09	5951.91	5815.94
P09467	F16P1_HUMAN	FBP1	Fructose-1,6-bisphosphatase 1					5933.09		5188.81				5205.22	10038.2		7835.2	5704.75			6108.37	12000.6	16492.8		10104.2			7679.88	4247.4		10528.2		3654.47				3963.53						11948.1		4559.2		7227.43	8054.82	5089.91	5579.32	5943.98
P09486	SPRC_HUMAN	SPARC	SPARC	1539250.0	1636930.0	1653600.0	1738850.0	1123270.0	1824640.0	1626740.0	2058430.0	1628720.0	1761270.0	1272660.0	1771530.0	1447310.0	1811640.0	1948400.0	1306500.0	1266590.0	1121260.0	1680460.0	83732.1	58750.7	1241140.0	66584.0	230014.0	476831.0	1110140.0	701419.0	2487940.0	577374.0	1094790.0	1654420.0	148746.0	1141280.0	272645.0	1242410.0	1350940.0	703332.0	911672.0	2100950.0	980851.0	869775.0	1152850.0	150005.0	1350940.0	1333230.0	1131240.0	1016510.0	1111400.0
